"id","hs6"
"02080710","080710"
"02080720","080720"
"02080810","080810"
"02080820","080820"
"02080910","080910"
"02080920","080920"
"02080930","080930"
"02080940","080940"
"02081010","081010"
"02081020","081020"
"02081030","081030"
"02081040","081040"
"02081090","081090"
"02081110","081110"
"02081120","081120"
"02081190","081190"
"02081210","081210"
"02081220","081220"
"02081290","081290"
"02081310","081310"
"02081320","081320"
"02081330","081330"
"02081340","081340"
"02081350","081350"
"02081400","081400"
"02090111","090111"
"02090112","090112"
"02090121","090121"
"02090122","090122"
"02090130","090130"
"02090140","090140"
"02090210","090210"
"02090220","090220"
"02090230","090230"
"02090240","090240"
"02090300","090300"
"02090411","090411"
"02090412","090412"
"02090420","090420"
"02090500","090500"
"02090610","090610"
"02090620","090620"
"02090700","090700"
"02090810","090810"
"02090820","090820"
"02090830","090830"
"02090910","090910"
"02090920","090920"
"02090930","090930"
"02090940","090940"
"02090950","090950"
"02091010","091010"
"02091020","091020"
"02091030","091030"
"02091040","091040"
"02091050","091050"
"02091091","091091"
"02091099","091099"
"02100110",100110
"02100190",100190
"02100200",100200
"02100300",100300
"02100400",100400
"02100510",100510
"02100590",100590
"02100610",100610
"02100620",100620
"02100630",100630
"02100640",100640
"02100700",100700
"02100810",100810
"02100820",100820
"02100830",100830
"02100890",100890
"02110100",110100
"02110210",110210
"02110220",110220
"02110230",110230
"02110290",110290
"02110311",110311
"02110312",110312
"02110313",110313
"02110314",110314
"02110319",110319
"02110321",110321
"02110329",110329
"02110411",110411
"02110412",110412
"02110419",110419
"02110421",110421
"02110422",110422
"02110423",110423
"02110429",110429
"02110430",110430
"02110510",110510
"02110520",110520
"02110610",110610
"02110620",110620
"02110630",110630
"02110710",110710
"02110720",110720
"02110811",110811
"02110812",110812
"02110813",110813
"02110814",110814
"02110819",110819
"02110820",110820
"02110900",110900
"02120100",120100
"02120210",120210
"02120220",120220
"02120300",120300
"02120400",120400
"02120500",120500
"02120600",120600
"02120710",120710
"02120720",120720
"02120730",120730
"02120740",120740
"02120750",120750
"02120760",120760
"02120791",120791
"02120792",120792
"02120799",120799
"02120810",120810
"02120890",120890
"02120911",120911
"02120919",120919
"02120921",120921
"02120922",120922
"02120923",120923
"02120924",120924
"02120925",120925
"02120926",120926
"02120929",120929
"02120930",120930
"02120991",120991
"02120999",120999
"02121010",121010
"02121020",121020
"02121110",121110
"02121120",121120
"02121190",121190
"02121210",121210
"02121220",121220
"02121230",121230
"02121291",121291
"02121292",121292
"02121299",121299
"02121300",121300
"02121410",121410
"02121490",121490
"02130110",130110
"02130120",130120
"02130190",130190
"02130211",130211
"02130212",130212
"02130213",130213
"02130214",130214
"02130219",130219
"02130220",130220
"02130231",130231
"02130232",130232
"02130239",130239
"02140110",140110
"02140120",140120
"02140190",140190
"02140210",140210
"02140291",140291
"02140299",140299
"02140310",140310
"02140390",140390
"02140410",140410
"02140420",140420
"02140490",140490
"03150100",150100
"03150200",150200
"03150300",150300
"03150410",150410
"03150420",150420
"03150430",150430
"03150510",150510
"03150590",150590
"03150600",150600
"03150710",150710
"03150790",150790
"03150810",150810
"03150890",150890
"03150910",150910
"03150990",150990
"03151000",151000
"03151110",151110
"03151190",151190
"03151211",151211
"03151219",151219
"03151221",151221
"03151229",151229
"03151311",151311
"03151319",151319
"03151321",151321
"03151329",151329
"03151410",151410
"03151490",151490
"03151511",151511
"03151519",151519
"03151521",151521
"03151529",151529
"03151530",151530
"03151540",151540
"03151550",151550
"03151560",151560
"03151590",151590
"03151610",151610
"03151620",151620
"03151710",151710
"03151790",151790
"03151800",151800
"03151911",151911
"03151912",151912
"03151913",151913
"03151919",151919
"03151920",151920
"03151930",151930
"03152010",152010
"03152090",152090
"03152110",152110
"03152190",152190
"03152200",152200
"04160100",160100
"04160210",160210
"04160220",160220
"04160231",160231
"04160239",160239
"04160241",160241
"04160242",160242
"04160249",160249
"04160250",160250
"04160290",160290
"04160300",160300
"04160411",160411
"04160412",160412
"04160413",160413
"04160414",160414
"04160415",160415
"04160416",160416
"04160419",160419
"04160420",160420
"04160430",160430
"04160510",160510
"04160520",160520
"04160530",160530
"04160540",160540
"04160590",160590
"04170111",170111
"04170112",170112
"04170191",170191
"04170199",170199
"04170210",170210
"04170220",170220
"04170230",170230
"04170240",170240
"04170250",170250
"04170260",170260
"04170290",170290
"04170310",170310
"04170390",170390
"04170410",170410
"04170490",170490
"04180100",180100
"04180200",180200
"04180310",180310
"04180320",180320
"04180400",180400
"04180500",180500
"04180610",180610
"04180620",180620
"04180631",180631
"04180632",180632
"04180690",180690
"04190110",190110
"04190120",190120
"04190190",190190
"04190211",190211
"04190219",190219
"04190220",190220
"04190230",190230
"04190240",190240
"04190300",190300
"04190410",190410
"04190490",190490
"04190510",190510
"04190520",190520
"04190530",190530
"04190540",190540
"04190590",190590
"04200110",200110
"04200120",200120
"04200190",200190
"04200210",200210
"04200290",200290
"04200310",200310
"04200320",200320
"04200410",200410
"04200490",200490
"04200510",200510
"04200520",200520
"04200530",200530
"04200540",200540
"04200551",200551
"04200559",200559
"04200560",200560
"04200570",200570
"04200580",200580
"04200590",200590
"04200600",200600
"04200710",200710
"04200791",200791
"04200799",200799
"04200811",200811
"04200819",200819
"04200820",200820
"04200830",200830
"04200840",200840
"04200850",200850
"04200860",200860
"04200870",200870
"04200880",200880
"04200891",200891
"04200892",200892
"04200899",200899
"04200911",200911
"04200919",200919
"04200920",200920
"04200930",200930
"04200940",200940
"04200950",200950
"04200960",200960
"04200970",200970
"04200980",200980
"04200990",200990
"04210110",210110
"04210120",210120
"04210130",210130
"04210210",210210
"04210220",210220
"04210230",210230
"04210310",210310
"04210320",210320
"04210330",210330
"04210390",210390
"04210410",210410
"04210420",210420
"04210500",210500
"04210610",210610
"04210690",210690
"04220110",220110
"04220190",220190
"04220210",220210
"04220290",220290
"04220300",220300
"04220410",220410
"04220421",220421
"04220429",220429
"04220430",220430
"04220510",220510
"04220590",220590
"04220600",220600
"04220710",220710
"04220720",220720
"04220810",220810
"04220820",220820
"04220830",220830
"04220840",220840
"04220850",220850
"04220890",220890
"04220900",220900
"04230110",230110
"04230120",230120
"04230210",230210
"04230220",230220
"04230230",230230
"04230240",230240
"04230250",230250
"04230310",230310
"04230320",230320
"04230330",230330
"04230400",230400
"04230500",230500
"04230610",230610
"04230620",230620
"04230630",230630
"04230640",230640
"04230650",230650
"04230660",230660
"04230690",230690
"04230700",230700
"04230810",230810
"04230890",230890
"04230910",230910
"04230990",230990
"04240110",240110
"04240120",240120
"04240130",240130
"04240210",240210
"04240220",240220
"04240290",240290
"04240310",240310
"04240391",240391
"04240399",240399
"05250100",250100
"05250200",250200
"05250310",250310
"05250390",250390
"05250410",250410
"05250490",250490
"05250510",250510
"05250590",250590
"05250610",250610
"05250621",250621
"05250629",250629
"05250700",250700
"05250810",250810
"05250820",250820
"05250830",250830
"05250840",250840
"05250850",250850
"05250860",250860
"05250870",250870
"05250900",250900
"05251010",251010
"05251020",251020
"05251110",251110
"05251120",251120
"05251200",251200
"05251311",251311
"05251319",251319
"05251321",251321
"05251329",251329
"05251400",251400
"05251511",251511
"05251512",251512
"05251520",251520
"05251611",251611
"05251612",251612
"05251621",251621
"05251622",251622
"05251690",251690
"05251710",251710
"05251720",251720
"05251730",251730
"05251741",251741
"05251749",251749
"05251810",251810
"05251820",251820
"05251830",251830
"05251910",251910
"05251990",251990
